,1.wrd,2.wrd,3.wrd,4.wrd,5.wrd,6.wrd,7.wrd,8.wrd,9.wrd,10.wrd,11.wrd,12.wrd,13.wrd,14.wrd,15.wrd,16.wrd,17.wrd,18.wrd,19.wrd,20.wrd,21.wrd,22.wrd,23.wrd,24.wrd,25.wrd,26.wrd,27.wrd,28.wrd,29.wrd,30.wrd,31.wrd,249.wrd,250.wrd,251.wrd,252.wrd,253.wrd,254.wrd,255.wrd,256.wrd,257.wrd,258.wrd,259.wrd,260.wrd,261.wrd,262.wrd,263.wrd,264.wrd,265.wrd,266.wrd,267.wrd,268.wrd,269.wrd,270.wrd,271.wrd,272.wrd,273.wrd,274.wrd,275.wrd,276.wrd,277.wrd,278.wrd,279.wrd,559.wrd,560.wrd,561.wrd,562.wrd,563.wrd,564.wrd,565.wrd,566.wrd,567.wrd,568.wrd,569.wrd,570.wrd,571.wrd,572.wrd,573.wrd,574.wrd,575.wrd,576.wrd,577.wrd,578.wrd,579.wrd,580.wrd,581.wrd,582.wrd,583.wrd,584.wrd,585.wrd,586.wrd,587.wrd,588.wrd,589.wrd
1.wrd,1.0,0.5832255645698261,0.4083748352504394,0.5315326385225481,0.3239839098947971,0.6307995863828322,0.18009000304802414,0.44685247277723095,0.3727090308617875,0.2918147741040661,0.6168539168473959,0.6387648889624307,0.1768940118584298,0.6453141649895571,0.8375708215795672,0.0,0.8563878083470327,0.3587829630759318,0.5419963807431901,0.6500205674475206,0.30701202441028597,0.6809721563915625,0.6844814131712417,0.6993495907124843,0.69595501322793,0.6379462094735693,0.7477943608271305,0.73325295372465,0.7215129766566719,0.5897648105554325,0.5587922235435965,0.21210395565651508,0.450740291676592,0.1664099537407241,0.3865478767244158,0.46926217564966877,0.5373579288853216,0.23333043339713522,0.4513335030801504,0.04142105500346893,0.3952271775625178,0.38826895084145563,0.2895351300658696,0.2737240113736624,0.5202815540309704,0.33454756880960246,0.5040150117638211,0.5398761301597104,0.42022710401598584,0.4760944033050488,0.5729307875119609,0.2972774054523094,0.5047852358129914,0.5371438125473283,0.6657537907694542,0.4274467620105431,0.5131164696948427,0.3543157893659731,0.39890590047410457,0.5166507749310274,0.48197906383919986,0.420901834821823,0.6019658604247138,0.22054062755187842,0.21490737890861977,0.1261197352887644,0.3597404962851758,0.34442871590867785,0.3019967052006439,0.4998335503417912,0.3403488233130486,0.36516298614950427,0.16135853277696077,0.6038765460280415,0.4014829922685753,0.438465236941984,0.38836758846549935,0.4901136087134349,0.4704263959312954,0.39027341360237366,0.5088265537856022,0.3591477112383238,0.16804931659496725,0.3934367138914988,0.40465109972956637,0.3984688315553765,0.42621089248439326,0.5052183502732672,0.45720603376600166,0.521032304237572,0.3771235921541669,0.41325314473245467,0.4499783922421161
2.wrd,0.448663035540358,1.0,0.22734558624677625,0.38885440551158845,0.47053014154179396,0.5130134042444476,0.09412654031844525,0.49487094212979754,0.395327021291084,0.3611442239518259,0.5664763861362667,0.6073858053688742,0.3006024028884876,0.7056270010808046,0.6696912626585698,0.21470490420770916,0.8255512613335053,0.2861500485552424,0.47031636616595496,0.6655380622516558,0.10332488775871984,0.6226174885936295,0.5715816101273461,0.6378998852134883,0.6636486908032491,0.688493381384889,0.7060733922837359,0.6462323085152508,0.6415432318448275,0.5815258694482237,0.6485376572952799,0.1972253143306183,0.3504030560401856,0.0,0.324438633526719,0.35580346598857293,0.3429119651300363,0.22167340633049615,0.3709259029275638,0.2537708915283118,0.4024467853225062,0.20302645926059093,0.1300707498608672,0.07765664280525864,0.45481798431281695,0.23061522615291452,0.44781097967385874,0.5771698579581549,0.4724094411399441,0.3300047119543611,0.5079587094936848,0.22716544036813735,0.4913597761380416,0.2609570646089644,0.5738663902342775,0.45340278310862603,0.5075844928013823,0.5293963948640705,0.3213454989007445,0.3702424903484125,0.595487238788653,0.5432919926141465,0.5010406657824498,0.28922982487630566,0.24855415473101639,0.33825583800067727,0.3523112537740931,0.1348800654412451,0.3784453820063688,0.3754010059016084,0.3543029444551339,0.33485823884929633,0.27920884383814326,0.6417795590991595,0.18092345097740803,0.5065888670300305,0.5389433331497926,0.4168496586811439,0.40155481036455454,0.3647386987359288,0.5504606001612997,0.39935056256241686,0.11383628715958505,0.35685987700528443,0.45659904441514554,0.42499053267324516,0.5292949397423581,0.5850550542775694,0.41702648977362267,0.5053714622324952,0.36631574366611297,0.4950879189657743,0.4608810681782243
3.wrd,0.553505744368081,0.5618655126807275,1.0,0.5465260285401194,0.3499029556814426,0.7031959585131284,0.18845590957388902,0.4453453143868402,0.36803348501864286,0.16674122754210308,0.5414845573289336,0.5590036050648222,0.1596524600936059,0.6543138443504952,0.7868658249360944,0.05298584710738796,0.8008808391040345,0.33057216109519627,0.5231645719350879,0.6221090304442325,0.2011360769579822,0.7973167637426863,0.6909398983761474,0.7249010034249606,0.6777480760050063,0.6731370839524814,0.6822613231457141,0.7370307137337688,0.7171634528033992,0.6916086532122752,0.6244113933498081,0.1352255099806431,0.24395233209954958,0.0,0.3266233723279527,0.5654592073921108,0.6032806130036745,0.2823512886192525,0.45826553270733905,0.2368868860586617,0.5661847916483198,0.32551650894653394,0.36858731297250846,0.16374714767138554,0.5839469547556875,0.32605011162891606,0.510277882761097,0.624396705195492,0.5468565331462718,0.6330730085171641,0.5873838137934281,0.22381500990309167,0.5651043563776526,0.5900220599170605,0.7342025466047211,0.5633651309683547,0.6073550964440062,0.42249375864395255,0.37293182597787544,0.45872097116132005,0.47211141119327404,0.4917912343673392,0.6547559789294517,0.23814294516007484,0.23930588770333294,0.227572916066328,0.3671348869850083,0.47157028479443586,0.29859102981524155,0.40407465462601533,0.24371050590420473,0.30025156264526365,0.14215645902287088,0.641292267198196,0.2806118518696046,0.46659679120678743,0.6188252346548891,0.40121480757852135,0.43348759910832135,0.35179365928651385,0.6489838512936599,0.39908375716055466,0.09589477499237509,0.4080206431336231,0.3900009301088796,0.5306631071879582,0.4994749883028401,0.5463488724918365,0.5717581431180366,0.5292277257996754,0.5021443331589563,0.33284091031812457,0.49507341340300637
4.wrd,0.4587376841502021,0.4961885374532412,0.28936936266384783,1.0,0.10795513385476785,0.550334467514079,0.0,0.5032341791036106,0.12602030554257093,0.3273857323833951,0.4932916116588645,0.6171820961355319,0.093867647409974,0.5937492564938605,0.8181964374950388,0.01819011298711859,0.84075853867727,0.17356622437417968,0.47031383542038496,0.6423116033423519,0.21268662945245898,0.6588053176634687,0.6935885946319555,0.618759996325762,0.6688382997571518,0.6492259791854851,0.6534724129912275,0.692230783014953,0.6261456233006918,0.6131055312984621,0.6370059112637119,0.04353826746774181,0.3181517357009652,0.1538636935169274,0.35251051772120634,0.5050155391438638,0.6125651515741463,0.27412025341916,0.4805855246641825,0.16450395744251534,0.551400491289496,0.28210190072974917,0.24228418638539917,0.1730408061983616,0.5418474726599483,0.4216210724859595,0.5486290015688651,0.5804184845145283,0.5715298081157202,0.6047150712378375,0.5284276735512736,0.23055888213677134,0.6330351743746426,0.4931549893806346,0.6926204393898097,0.5361803371048767,0.5516112329284,0.5636675735380008,0.45877155468666464,0.3435248547783267,0.5801288155982156,0.450266769465017,0.4904977817971623,0.3605564319277508,0.17974032086767056,0.2671169795182745,0.18213330815003181,0.2534432105439437,0.352778954360931,0.3506736246292682,0.28235425720052754,0.31648291533140294,0.1616322328761255,0.6135099986382946,0.28711183601540535,0.5004921929973069,0.4107458337304074,0.1058399624143529,0.3771306008734272,0.4167550735353118,0.42541683132257724,0.3895917960376313,0.2983069464393773,0.4367757228385508,0.39591215215475317,0.4665190984005233,0.49229341500409907,0.5963826933928036,0.46149998827599703,0.38153472789450016,0.3843154569897964,0.33319640630273784,0.502473786097828
5.wrd,0.4604253054073476,0.5535030991931431,0.22249279560386936,0.3024980509699343,1.0,0.5612821940153415,0.29294522055579575,0.36023838138688835,0.343529353052637,0.14751653100438533,0.46748915157411686,0.40954113781017454,0.03206207493544877,0.7354360442713694,0.8108011825384382,0.2005970074230471,0.7431262464772992,0.30916458281433146,0.3715065294139931,0.4413074204931082,0.21109159691378354,0.5708285565638052,0.5484578306643403,0.5104273570179427,0.5969134498230773,0.564977669423512,0.4844223121727982,0.6159213900290104,0.6714286582930626,0.6320558592985187,0.5617015963692393,0.05953433439018696,0.24496331400465465,0.0,0.1724591523429645,0.4838546803903728,0.4333315241926329,0.4137593572923318,0.39692161122461167,0.11456207076917047,0.640454346844882,0.10183995914975297,0.2788537050308241,0.11259627199609223,0.4277083275437077,0.32267946739558395,0.5199202831051468,0.5254257249628402,0.5934540425038766,0.508479727722673,0.44064595060937806,0.08656496833696004,0.4312978848953223,0.5641662945917341,0.6946729784507921,0.6207647494474502,0.4156752237820721,0.5855929102823707,0.23995304221421876,0.4078963451559404,0.46110598070837483,0.3671978498940798,0.5957413878859672,0.13390613280230823,0.11508127463255824,0.14406601474844538,0.17883088283348736,0.1292654842213129,0.08294453998859308,0.2058233851989203,0.20181615506194506,0.12525314645225205,0.16291248351673915,0.6340900300778276,0.08528361928791417,0.5389116392710971,0.5905395843963914,0.3747498757886033,0.39822341782651005,0.24932452916888082,0.5618126130497119,0.32332076798788467,0.07350584308156194,0.3212673917912785,0.19056449198495906,0.5262491887580388,0.4255564830466926,0.5350624844918734,0.4608338168843634,0.5422206642092682,0.4510420447751965,0.30077042819748023,0.5128828398830758
6.wrd,0.5151180386372092,0.5575840336310034,0.32512144018253064,0.42063588003493535,0.2825414140232263,1.0,0.18860900197657415,0.4488717483692226,0.41599660681228434,0.0729084884017338,0.5476781486232937,0.4308313393480233,0.25876892475230184,0.6861602905103574,0.7282303355996373,0.31451064132083617,0.7718992239963562,0.2272422995114982,0.38901817361253355,0.5095801557021855,0.010321207841105795,0.6505689439747937,0.7059873215128938,0.7281765460524943,0.5782230226950773,0.6832794908546906,0.7796034483479105,0.699204372699047,0.5868326598496469,0.5430817833458004,0.6625087525020583,0.131285675482548,0.2540616039080166,0.16466697032632316,0.31425695457223723,0.15336140374337182,0.21484741938045093,0.13056742289064538,0.33687213281906236,0.2841184272658519,0.4547881305290785,0.1872645140261513,0.2737814736965274,0.20049993522856024,0.5330719130140451,0.20628242855292278,0.32197729238663997,0.45970266983698516,0.37445832271221047,0.42780190804127005,0.30824753555116347,0.15632751783304055,0.36238753379606636,0.23672604187996016,0.6526995315562281,0.28458404616741184,0.44806238116530117,0.35417800863340665,0.0,0.3231580047053322,0.41491936164611454,0.4097398361073621,0.39000094440938926,0.2768492162655716,0.1824414904953141,0.14172223499078607,0.335486776179154,0.2252093621893586,0.2562094750170293,0.3937691378712348,0.3001860235768047,0.3274166057257957,0.1874320338650164,0.5320533549516723,0.1384893628579671,0.48065401603824465,0.5069488138468806,0.2373202508953085,0.37601569558258807,0.44699994567556656,0.45204523135940666,0.3715445272311677,0.1916784662122918,0.3971403283703091,0.3283994266682827,0.29077791753550974,0.4180506220147683,0.39126921100028034,0.44566328044362213,0.42343489216599917,0.2501819701382769,0.36641690242078073,0.4105734570816082
7.wrd,0.5014742125692949,0.5707570326174647,0.21581486998160782,0.4088592370668733,0.43692809361694196,0.6882121812189856,1.0,0.4608675307361013,0.3109279690183526,0.24936205920427512,0.5402965720827256,0.5553219139399634,0.07278430448413675,0.7503675665770051,0.7516068475171576,0.18956816085002215,0.8292040122516144,0.31470056529196977,0.3595805686330882,0.5938755146201309,0.2081283127664768,0.6045752746682673,0.688996860236511,0.6785657188740413,0.6633762273001645,0.5430834512994991,0.6037902710984128,0.6922821633165319,0.7121278670086051,0.5750258030165928,0.6774688352682872,0.2104816490810687,0.22828437699945414,0.04850840249014854,0.3016229652283925,0.5043288199562033,0.49225452178475637,0.34693441663393265,0.5066442279054251,0.08853698286329759,0.586719954520187,0.2807248489758434,0.35765097226510023,0.0,0.41637100072420885,0.2555528801297394,0.6051815310428623,0.5731831645442393,0.6046902768356129,0.5395152492313308,0.578930713373838,0.1128025360637015,0.5927717932868977,0.6448103440846258,0.7098946298081634,0.5239495351223079,0.44771767352216074,0.45547127292182177,0.2591636870672933,0.42979824691289137,0.5148251004463642,0.42605551682974196,0.5992921454692517,0.24528497383643544,0.07199015443955348,0.14655398672041065,0.2510368451129621,0.23234606826022897,0.20033320017344625,0.30907825678046186,0.21714790228773817,0.17057124263666368,0.08960688436859943,0.6755166087515327,0.1469156855388294,0.6077501340659284,0.6284603714008676,0.4786893113514433,0.4555623393548953,0.3616342030003121,0.5253834146885215,0.5378119691033854,0.06629561828243968,0.4986692469363625,0.3429623755778858,0.5274818225247844,0.47963522649083445,0.5855526578113941,0.49314586049953113,0.5809235826936245,0.5044913764159535,0.3489542459256032,0.47756093141738687
8.wrd,0.5732315054077064,0.7170005707033031,0.4348932692821116,0.48744893527236965,0.4637764697065786,0.7027654916017059,0.2852707830246136,1.0,0.3996210800249943,0.5725469875268052,0.556085088304705,0.638258048846869,0.3371640465420451,0.7191972747388761,0.8157304137578568,0.39598768967179576,0.7883525168097191,0.32059148875884547,0.6595276444638956,0.7603713082684667,0.24657113641113282,0.8038217148734621,0.710425702972135,0.8033352923539907,0.7201715755050486,0.7248255936877805,0.8372522112059902,0.8308311032077416,0.6873616964509429,0.7865355479564007,0.7664413414421611,0.1523114706589157,0.38030362626893566,0.3822708378181864,0.5027281201722626,0.2965772883144059,0.4094042075291726,0.2925011356128122,0.5252155655439147,0.05931287229132087,0.46684231277324373,0.5992875670937403,0.4482940187021355,0.0,0.5361999824497525,0.4040921074720325,0.41584962034925,0.5889133793968133,0.5605419777288874,0.5035723604448168,0.5627176144799906,0.19017640327883345,0.5955709091429976,0.5159933472101019,0.8259081365078513,0.34163836975553163,0.5661003402500369,0.528039315349357,0.5249402467643988,0.44856240822003735,0.6695113129512501,0.4887467219206376,0.6126953156502849,0.588675094318023,0.3799354786754302,0.49024905571341804,0.45245742187097415,0.5676330230441039,0.4628769583825636,0.6286226601877876,0.4382039889604633,0.5743804352123647,0.36895882953009074,0.7209932228909963,0.5468177890100399,0.6089264378523552,0.6902983175228741,0.5090263298548636,0.6407297572248762,0.5366654192054793,0.6674367502531657,0.4859401613423249,0.25892549745256455,0.6306435938947266,0.5624734366173745,0.654922527070267,0.5903117626195684,0.5846752566607236,0.5772602596306984,0.6438653703862108,0.6073098003574918,0.5800549531206338,0.5143804713143999
9.wrd,0.5725875538226706,0.6661764603522493,0.2925485870193919,0.4155896663393518,0.36439923221850057,0.7213967758379347,0.2530815449815421,0.4970199526371867,1.0,0.2037069802362662,0.5739354725185695,0.5937055013442536,0.1325877390654725,0.7347191812016715,0.8347115819946992,0.03110870932253218,0.7686536474561962,0.1438270225636915,0.42774571683561546,0.7198794024987869,0.261242673607886,0.726567388664662,0.6720655268497101,0.6884974323119889,0.7057732463008912,0.7037838088565674,0.6697618699155345,0.6734364992157085,0.6914014829832531,0.6735359424326011,0.5900253813143127,0.16816066126725826,0.3194304789540465,0.0943545398042368,0.2588286382155477,0.5262165754020798,0.5129403513277644,0.3363180040631586,0.42804734647034504,0.17053455147545782,0.522880420936722,0.28785566768239956,0.29296254552302614,0.0980015583134779,0.5007654807543869,0.3592893594343647,0.5425616275025884,0.6314570508323535,0.6622217668593435,0.5176355815779583,0.4751314079993888,0.04963662230234023,0.572088821779148,0.5498457091069973,0.6472283124285506,0.6005215305888045,0.5013232335210793,0.4458675099293701,0.2889859723039273,0.4176699873780696,0.5275228514420853,0.46361449138912614,0.6761414138745621,0.21908257651773322,0.18501714619024545,0.09603177287502007,0.19891458070777013,0.32500710074299466,0.1282567549541197,0.34474462888541124,0.20306920516722793,0.2846709797119291,0.15506699933587087,0.6874349945893665,0.10677623439485362,0.4755488051418669,0.5072513821826061,0.390425892151844,0.47349350667129697,0.3904269921465281,0.5317971996926931,0.44967326968825716,0.0,0.3609311893148994,0.3735676416911704,0.47308006581221973,0.3985015447206861,0.5829735372430145,0.49268676853646565,0.5961085830080162,0.47289228100545555,0.3455426519195033,0.45523416802378147
10.wrd,0.5753815129927138,0.6585215481272635,0.40061660620156614,0.510030342365198,0.39939774158615426,0.6178209015073187,0.1473058909891426,0.691304964610582,0.32120522346640634,1.0,0.5192443552704782,0.6838028362924491,0.22769125548246683,0.7797697490968637,0.8450068270152202,0.26779748683592397,0.8216628969744676,0.3491502955170658,0.6030163167973707,0.7509608848255699,0.04786046775473185,0.7745987537143931,0.7571691650177379,0.8344124666643234,0.7956753671913552,0.7058186322827529,0.8211915042539679,0.8157573111319898,0.7584258797441343,0.6828112176222831,0.6853222257527254,0.0,0.24906301846867474,0.12937186336454687,0.4010940231720742,0.17907300099960877,0.6067049302103711,0.27617228878507283,0.41084141465002855,0.25522420878376895,0.5658735515540736,0.29050131610007823,0.38766871084061916,0.057187701693124815,0.5645118482905563,0.43027165483736063,0.5229778212587007,0.5843178002243827,0.5045151995943955,0.37082528554388094,0.6087908897301034,0.1117231740510326,0.5547780259030544,0.41799418489413076,0.8240173036605638,0.4558494775081765,0.5201882642050482,0.54162413412181,0.4031992176765594,0.4620550651898909,0.5222980301661316,0.5078814284643507,0.5323887070416614,0.2538772174748539,0.16605393813213343,0.30632966495571834,0.32046162568725467,0.36712420716341976,0.4296177525233641,0.519812000397058,0.3939518292639991,0.45625951392031283,0.17966945017687075,0.644542634338862,0.3884412870056624,0.64004625810442,0.5846530371464649,0.416746990807217,0.5606225556811404,0.4822263656105512,0.6629207421678429,0.36908181722799316,0.048855824946606674,0.41935029006037383,0.5007156993030282,0.562678936327038,0.5238975557109223,0.5344481191831421,0.6314717454877954,0.610894350567786,0.4535221799471175,0.4116220102346968,0.5205703876131267
