,1.txt,2.txt,3.txt,4.txt,5.txt,6.txt,7.txt,8.txt,9.txt,10.txt,11.txt,12.txt,13.txt,14.txt,15.txt,16.txt,17.txt,18.txt,19.txt,20.txt,21.txt,22.txt,23.txt,24.txt,25.txt,26.txt,27.txt,28.txt,29.txt,30.txt,31.txt,249.txt,250.txt,251.txt,252.txt,253.txt,254.txt,255.txt,256.txt,257.txt,258.txt,259.txt,260.txt,261.txt,262.txt,263.txt,264.txt,265.txt,266.txt,267.txt,268.txt,269.txt,270.txt,271.txt,272.txt,273.txt,274.txt,275.txt,276.txt,277.txt,278.txt,279.txt,559.txt,560.txt,561.txt,562.txt,563.txt,564.txt,565.txt,566.txt,567.txt,568.txt,569.txt,570.txt,571.txt,572.txt,573.txt,574.txt,575.txt,576.txt,577.txt,578.txt,579.txt,580.txt,581.txt,582.txt,583.txt,584.txt,585.txt,586.txt,587.txt,588.txt,589.txt
1.txt,0.0,985.5,1391.0,1031.5,1712.0,979.5,1967.0,1028.5,1334.5,1483.5,949.0,939.0,2063.0,974.0,1015.0,1995.0,988.0,2135.0,1019.0,914.5,2095.5,944.5,979.0,912.5,971.5,946.0,943.5,982.5,947.5,956.0,978.5,2065.0,1456.0,2069.0,1510.0,1279.0,1208.5,1479.0,1177.0,2090.0,1203.5,1469.0,1468.0,2174.0,1015.5,1446.5,1529.0,1012.5,1333.5,1362.0,1084.0,2070.5,1123.0,1367.5,985.0,1207.0,1071.0,1223.0,1389.5,1370.5,1170.0,1219.0,1014.5,1496.5,2101.5,1691.5,1487.5,1483.0,1693.0,1132.0,1500.5,1460.5,1677.5,958.5,1480.5,1249.0,1234.5,1329.0,1207.5,1230.5,1000.0,1326.5,2734.0,1295.5,1163.5,1184.5,1207.5,1101.5,1000.5,1138.0,1223.0,1351.0,1320.0
2.txt,985.5,0.0,1456.0,997.5,1725.5,892.5,1994.5,1017.5,1359.5,1524.0,875.0,878.5,2090.0,933.0,1030.5,2086.0,971.5,2115.0,1059.0,939.0,2135.0,1001.0,963.5,980.5,992.5,965.5,963.0,970.0,950.5,995.0,904.0,2083.0,1450.0,2047.5,1502.0,1271.5,1223.5,1424.0,1221.0,2167.0,1204.5,1503.0,1494.5,2104.0,1035.0,1469.0,1450.0,1047.5,1305.5,1327.5,1161.5,2074.5,1165.0,1331.0,999.0,1245.0,1117.5,1304.5,1419.5,1395.0,1197.5,1243.5,930.0,1523.0,2007.0,1704.5,1497.5,1513.0,1723.5,1152.0,1530.0,1497.0,1643.0,1001.0,1497.0,1248.0,1180.0,1231.5,1194.0,1312.0,975.5,1395.0,2791.5,1384.0,1127.0,1235.0,1241.0,1140.5,1013.5,1091.5,1254.0,1355.5,1320.5
3.txt,1391.0,1456.0,0.0,1452.5,1588.0,1433.0,1832.0,1462.0,1303.5,1500.5,1423.0,1411.0,1933.5,1533.0,1656.0,1746.0,1596.0,2015.0,1509.5,1569.0,2000.5,1548.5,1569.5,1538.0,1572.0,1576.0,1592.5,1564.5,1536.5,1564.5,1519.5,1869.5,1492.5,1906.0,1583.5,1414.0,1489.0,1500.0,1502.5,1925.5,1489.0,1566.5,1544.0,1996.0,1475.5,1533.5,1554.5,1560.0,1527.0,1487.5,1453.5,1938.0,1514.5,1515.0,1556.0,1502.5,1515.5,1505.0,1509.5,1500.0,1504.5,1534.5,1471.0,1545.5,1957.5,1629.5,1430.0,1498.0,1581.5,1469.5,1473.0,1478.0,1624.5,1518.0,1510.0,1483.5,1394.0,1515.5,1492.5,1433.5,1462.5,1464.0,2453.0,1513.5,1481.0,1484.0,1542.0,1492.0,1557.5,1523.5,1494.5,1528.5,1551.5
4.txt,1031.5,997.5,1452.5,0.0,1761.5,1019.5,2051.5,1164.0,1417.5,1496.5,996.5,1039.5,2036.0,1055.0,1163.5,2042.5,1183.0,2151.5,1087.0,1133.0,2094.0,1206.5,1180.0,1138.0,1168.5,1160.5,1190.5,1166.0,1118.0,1112.5,1108.0,1968.0,1383.0,1981.0,1447.0,1232.0,1140.5,1416.5,1155.0,2105.5,1196.0,1468.5,1453.0,2092.0,1111.0,1418.0,1467.0,1079.5,1230.0,1267.0,1145.0,2056.5,1147.5,1290.5,1166.5,1223.0,1139.5,1289.0,1383.0,1381.0,1156.5,1247.5,1069.0,1439.0,2055.0,1633.5,1476.5,1413.0,1649.5,1119.0,1494.0,1458.5,1657.5,1076.5,1449.0,1241.5,1231.5,1343.0,1229.5,1248.0,1145.5,1353.0,2682.0,1298.0,1136.0,1231.0,1246.0,1163.5,1125.0,1129.5,1256.5,1308.5,1316.5
5.txt,1712.0,1725.5,1588.0,1761.5,0.0,1782.0,1601.5,1645.5,1670.0,1631.0,1702.0,1710.5,1765.0,1701.0,1941.5,1860.5,1845.0,1817.5,1741.0,1797.0,1826.0,1775.0,1825.5,1778.5,1828.0,1771.0,1837.0,1819.0,1741.0,1813.0,1707.5,1871.0,1765.0,1940.0,1736.5,1603.0,1731.0,1649.0,1764.0,1876.5,1696.5,1712.0,1711.0,1934.0,1733.5,1772.0,1751.0,1836.5,1814.0,1754.5,1680.0,1899.5,1739.0,1718.5,1854.5,1708.0,1721.5,1628.5,1616.0,1678.5,1677.0,1722.0,1809.5,1631.5,1813.5,1683.5,1597.0,1685.0,1655.5,1647.5,1596.0,1717.0,1685.0,1772.0,1690.5,1769.0,1662.5,1655.5,1706.5,1634.5,1788.5,1737.5,2410.0,1712.0,1720.5,1770.0,1762.5,1766.0,1811.5,1759.0,1758.0,1715.5,1762.5
6.txt,979.5,892.5,1433.0,1019.5,1782.0,0.0,2090.5,1069.5,1440.0,1507.0,917.5,949.0,2139.0,1003.0,1008.5,2066.0,1003.0,2181.0,1076.5,970.0,2091.5,998.5,1012.0,1000.0,976.5,980.5,985.5,971.5,970.0,957.0,966.0,2108.0,1429.5,2061.0,1503.5,1202.0,1168.0,1503.0,1185.5,2104.5,1146.0,1491.5,1510.0,2073.5,1006.0,1442.5,1462.0,1009.0,1282.5,1279.0,1147.0,2094.0,1171.0,1354.5,956.0,1193.5,1136.5,1259.5,1453.0,1445.0,1197.0,1274.0,888.5,1520.5,2081.0,1683.0,1478.0,1471.0,1735.5,1169.0,1500.5,1448.5,1625.0,991.5,1533.5,1216.5,1243.5,1317.0,1145.5,1306.5,982.5,1327.5,2736.0,1296.0,1090.5,1187.5,1196.0,1102.5,994.0,1040.5,1231.5,1310.0,1268.0
7.txt,1967.0,1994.5,1832.0,2051.5,1601.5,2090.5,0.0,1995.5,1797.5,1845.5,1994.0,2020.0,1872.5,2095.0,2341.5,1896.0,2254.0,1946.5,2027.0,2183.5,1990.0,2186.0,2242.0,2165.0,2195.5,2128.5,2227.5,2246.0,2118.0,2177.5,2107.5,1788.0,1957.0,1900.0,1967.0,1920.5,2042.0,1887.0,2069.5,1903.0,1981.0,1926.0,1954.0,2013.0,2049.5,2079.5,2034.0,2158.0,2060.0,2043.5,2042.0,1860.0,2021.5,1989.5,2213.5,2030.5,2001.5,1931.5,1982.5,2042.0,2009.5,2046.5,2090.5,1923.5,1904.5,1965.5,1869.5,1974.0,1895.5,1986.0,1822.5,1974.5,1908.5,2112.5,1918.5,2082.5,1969.0,1957.0,2021.0,1953.0,2058.5,2028.5,2394.5,2048.5,2049.0,2065.0,2055.5,2050.0,2166.0,2103.5,2050.0,1994.0,2073.5
8.txt,1028.5,1017.5,1462.0,1164.0,1645.5,1069.5,1995.5,0.0,1451.5,1304.0,1048.0,987.5,1951.5,938.5,1031.0,2067.0,920.5,1918.0,978.5,918.5,2058.5,926.0,982.0,903.5,955.5,900.0,957.0,924.0,936.0,970.0,904.5,2065.0,1565.5,2077.5,1525.5,1298.0,1275.0,1518.0,1223.5,2130.5,1241.0,1443.5,1548.5,2167.0,1021.5,1441.0,1589.5,1023.5,1425.0,1307.0,1146.5,2093.0,1068.0,1385.0,988.5,1256.0,1122.0,1235.0,1358.5,1469.0,1217.0,1275.5,1075.5,1329.0,1974.5,1477.0,1356.0,1433.5,1524.5,966.5,1406.0,1432.0,1559.0,1029.5,1302.0,1217.5,1155.5,1271.5,1185.0,1185.5,1036.0,1354.5,2728.5,1335.5,1123.0,1210.0,1184.5,1103.0,1008.0,1128.0,1256.5,1287.5,1221.5
9.txt,1334.5,1359.5,1303.5,1417.5,1670.0,1440.0,1797.5,1451.5,0.0,1474.5,1373.5,1374.5,2020.5,1515.0,1635.0,1883.5,1603.5,1989.0,1465.5,1555.0,2013.0,1525.5,1547.5,1538.5,1557.5,1552.0,1566.5,1577.5,1524.5,1550.5,1483.0,1913.5,1455.0,1911.0,1575.0,1416.0,1454.0,1462.0,1468.5,2024.0,1512.0,1551.5,1570.0,2046.0,1524.5,1515.0,1557.5,1593.0,1533.5,1506.0,1458.0,1863.5,1453.0,1504.0,1527.5,1526.5,1477.5,1510.0,1526.5,1508.0,1542.0,1467.0,1445.0,1547.5,2003.0,1623.5,1511.5,1528.0,1638.5,1504.0,1578.0,1526.0,1615.5,1549.0,1507.0,1532.5,1442.0,1486.5,1535.5,1524.5,1478.0,1508.0,2564.5,1527.5,1470.0,1533.5,1587.0,1525.0,1559.0,1527.5,1501.0,1516.5,1586.0
10.txt,1483.5,1524.0,1500.5,1496.5,1631.0,1507.0,1845.5,1304.0,1474.5,0.0,1528.5,1495.5,1898.0,1488.5,1658.5,1915.5,1595.5,2052.0,1437.5,1527.5,1891.5,1548.0,1576.0,1510.5,1549.0,1546.5,1589.0,1515.0,1519.0,1526.5,1490.0,2002.0,1530.5,1944.5,1561.5,1501.0,1547.5,1515.0,1526.0,1988.0,1571.0,1529.5,1596.5,2083.5,1555.0,1560.0,1650.5,1546.0,1574.5,1541.5,1478.0,1835.5,1460.0,1576.5,1577.0,1522.0,1521.5,1489.5,1469.0,1550.5,1470.0,1546.0,1512.0,1456.5,1875.5,1535.5,1337.0,1404.5,1533.0,1357.0,1379.5,1354.5,1514.0,1511.0,1290.5,1459.5,1343.5,1466.0,1401.5,1507.5,1486.0,1424.5,2471.0,1474.0,1493.5,1474.0,1485.0,1443.0,1551.0,1529.5,1502.0,1468.0,1493.0
