,1.csv,2.csv,3.csv,4.csv,5.csv,6.csv,7.csv,8.csv,9.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,30.csv,31.csv,32.csv,33.csv,34.csv,35.csv,36.csv,37.csv,38.csv,39.csv,40.csv,41.csv,42.csv,43.csv,44.csv,45.csv,46.csv,47.csv,48.csv,49.csv,50.csv,51.csv,52.csv,53.csv,54.csv,55.csv,56.csv,57.csv,58.csv,59.csv,60.csv
1.csv,1.0,0.9267480551515421,0.9572245839550486,0.9918295550886363,0.9510058417535833,0.988214114652622,0.935135127095656,0.9878287242505844,0.9493390366959467,0.9226169579691077,0.981591947110241,0.93702022292977,0.9712683297296877,0.9459334971040158,0.6526141683274249,0.9455317593583623,0.8552631511248526,0.9811597229535889,0.929168961241948,0.8199799162012683,0.9908776160495699,0.8991627094599539,0.7776413598653447,0.988599254028407,0.9990261815778189,0.9842144311390731,0.8467810735047976,0.8965611347986298,0.8866199462999143,0.9207962790204963,0.9881111639220238,0.0,0.9945725282153388,0.9264742613198955,0.8313739102919937,0.995451102890111,0.9018572020982638,0.9560182646000829,0.9578746441788517,0.9725003867221529,0.949160621149301,0.9772754903473014,0.8883264121362857,0.9335911368599072,0.799032004222209,0.8902177955712888,0.9365443792575088,0.725573834679833,0.9314114826632199,0.7632974140856249,0.9356197532674427,0.9468504631559661,0.8825398209462791,0.9980347673700539,0.9646441443487979,0.9921725489302757,0.9416030899285613,0.9632404059114071,0.9430948279873285,0.99302575283787
2.csv,0.9209580808493406,1.0,0.8748016138315536,0.9121418283072498,0.8680913303104238,0.9336755451871818,0.8509661639077265,0.9078247641137058,0.8662927777833743,0.8374585346690464,0.940821141564471,0.9889159003667479,0.8899554042245004,0.979298103895163,0.7041980446570446,0.8621845659371986,0.9228647919675003,0.9006286321530859,0.8445284208547255,0.8847927024420097,0.9308015155249504,0.9702342556413248,0.8391076253589559,0.933259963645518,0.9199072900287321,0.9379913713574506,0.9137122746543546,0.967427047526738,0.9567000884114323,0.9935777840564192,0.9081295283516521,0.0,0.9268145504044869,0.8416207266792488,0.7390034613942584,0.9160496301924929,0.8150578878534271,0.8734999446799245,0.8755030560623515,0.8912848453663236,0.8661002599283188,0.9454787793490245,0.8004575982846155,0.849300133720344,0.8621890272989551,0.9605823185891923,0.8524868060645647,0.7829245830577953,0.9949679662243487,0.8236299065779706,0.9904270658383655,0.8636075026147888,0.9522974621209693,0.9188375125481917,0.9591085311841595,0.9125119330317373,0.9839707947641626,0.9606232238011334,0.9823611468673432,0.9284835858731795
3.csv,0.9589792630447079,0.8887321669605435,1.0,0.9668145502742252,0.9940363551842475,0.9476768434088115,0.9788166689386155,0.9706512640897985,0.9924379237005658,0.9668120043348728,0.9413263220561564,0.8985829628463069,0.986532339026274,0.9071306079441009,0.6258434541975233,0.9887868236838621,0.8201796263769924,0.9770466980408613,0.9730952396047423,0.7863437357521843,0.9502310860184452,0.8622783924768523,0.745741938198448,0.9480461840923495,0.9599131346509937,0.9438412298639217,0.8120454898320314,0.8597835363255468,0.8502501427055134,0.8830245370740811,0.9703804103047109,0.0,0.9537744301695441,0.9705110782593156,0.8793118137151532,0.963341561036286,0.9469038289491484,0.9988431647538556,0.9993766057230233,0.9853508219194792,0.9922668268893049,0.9371869295345162,0.9339280819623876,0.977336014319855,0.766255122561333,0.8537004055471747,0.9801681125374972,0.6958102612676225,0.893204297237947,0.7319863916469211,0.8972399414810183,0.9900514332811007,0.8463373871024447,0.9608638803092097,0.925073730649683,0.9664856262999975,0.902977837262358,0.9237275745996111,0.9044083831272731,0.9522911046606318
4.csv,0.9918957702512461,0.9192374760065989,0.9656754754917994,1.0,0.959507131404346,0.9802054004461828,0.9437650366642786,0.9960315928060262,0.9578538345191286,0.9313483176561008,0.9736369004676774,0.9294263957771454,0.979605407524393,0.9382674347283174,0.6473252331794446,0.9540774122306216,0.8483319020636445,0.9894166386260866,0.9378472219890319,0.8133346105818595,0.9828473162189029,0.8918756882921238,0.7713391756328939,0.9805874185728283,0.9928616965665779,0.9762381312901085,0.8399185651495255,0.889295197389759,0.8794345745668375,0.9133339344381797,0.9963117434912475,0.0,0.9865122839731054,0.9351743605341666,0.8408447245989856,0.9964078020537536,0.9107568036164491,0.9644789324262746,0.9663202674775052,0.9808274796441044,0.9576768648917688,0.9693554252659671,0.8973356702842072,0.9422335592798298,0.7925564652952191,0.8830032660395736,0.9451628679223116,0.7196936176335594,0.9238631100291623,0.7571114764866637,0.928037275842014,0.9553854289507762,0.8753875154882368,0.993845076117318,0.9568264465885808,0.9996597858211638,0.9339721221675812,0.9554340843727857,0.9354517708392407,0.9849780440214717
5.csv,0.9532941552998224,0.8834635044134901,0.9940717094037206,0.9610829926683447,1.0,0.9420587396907331,0.9848705404760941,0.9648969613297489,0.9984110444757022,0.9729370430125854,0.9357458660741482,0.8932559019186929,0.980683888639056,0.9017528740926946,0.6221332723337807,0.9947815892469974,0.815317363211675,0.9712544812898997,0.9791830294380517,0.7816820615789869,0.9445978400078827,0.8571665555925425,0.7413209632798791,0.9424258908150018,0.9542224906426977,0.9382458647772544,0.8072314481918343,0.8546864896734472,0.8452096127810738,0.8777897110153704,0.9646277132461354,0.0,0.9481201781852037,0.9766141877520282,0.8859555789498962,0.9576305923203704,0.9531468890755056,0.9952216865929444,0.993452010793265,0.9795093759089857,0.9982409619826825,0.9316310130739074,0.940248066087842,0.9833986636083796,0.7617125395245299,0.8486394214623206,0.9862139723250396,0.6916852958397237,0.887909122603235,0.7276469636052806,0.8919208423744365,0.9960387018682877,0.8413200531299234,0.9551676000039253,0.9195896247528441,0.9607560186515727,0.8976247222423004,0.9182514491066447,0.8990467874154897,0.9466456462607634
6.csv,0.9880735508909101,0.9378008686629378,0.9447879760330744,0.9798056616043878,0.9384950663179715,1.0,0.9224350703895449,0.975757115053666,0.9368083821957717,0.9097676039559336,0.9932988535101666,0.9481955469272496,0.9589992138271252,0.9572151248107531,0.6603975379901381,0.9329556975577884,0.8654634035656957,0.9690085762499838,0.916397749362207,0.8297593649367785,0.9973047324861156,0.9098865277483132,0.7869158599633987,0.9996102672140458,0.9870881183524021,0.9959526144644837,0.856880164878874,0.9072539255394428,0.897194173962434,0.9317781089780368,0.9760429232185732,0.0,0.9935657531328935,0.9136709112386381,0.8174363507145487,0.9834704016066451,0.888760257913613,0.9435672695719474,0.9454457891664421,0.9602459648847641,0.9366278387840679,0.9889309167478766,0.8750680936732692,0.9208726658325912,0.8085616187527935,0.9008349327983279,0.9238611299251274,0.7342273540891663,0.9425199143043138,0.7724008418457902,0.9467783746341102,0.9342901288100711,0.8930653872030404,0.9860848801011606,0.9761489236363832,0.9801527461363024,0.9528330712546753,0.974728443587306,0.9543426004523436,0.9951309760442674
7.csv,0.9390862873263235,0.8702963904012195,0.9792560939676018,0.9467590400926161,0.9850960294946006,0.9280183240201555,1.0,0.9505161654774564,0.9866613032666711,0.9882443590306911,0.9217995372857267,0.879942842302811,0.9660678048878184,0.8883131758540759,0.6128610163926269,0.9902366652076423,0.8031658972778752,0.9567789331476348,0.9943972554585943,0.7700318951886735,0.9305195816610907,0.8443913705297932,0.7302723375081621,0.9283800031351535,0.9400007867866754,0.9242622760821145,0.7952004944970186,0.841948267440017,0.8326126336413497,0.8647071590527011,0.9502509302593387,0.0,0.9339894230140954,0.9918666997132928,0.9025592641428946,0.9433580942173898,0.9687491569642077,0.9803889319316316,0.978645631326161,0.9649107970608388,0.9868288508611893,0.9177460119334513,0.956042577653851,0.9985500599412368,0.7503599983020521,0.8359913245551225,0.998676590617884,0.6813764385915725,0.8746757512285157,0.7168021347215654,0.8786276804465881,0.9889982885530282,0.8287810438726765,0.9409318102661423,0.9058840881084588,0.9464369392867336,0.8842465498571063,0.904565856592705,0.8856474206129306,0.9325368674700778
8.csv,0.9879750828332208,0.9156039865603539,0.9697638719527943,0.9960472788132154,0.963619909609965,0.9763309217934121,0.9479400389811521,1.0,0.9619731477460689,0.9355723998012323,0.9697883852640172,0.9257526323719152,0.9836387428481547,0.934558725161431,0.6447665370159831,0.9582116526021782,0.8449786825818191,0.9934111928890408,0.9420456157773753,0.8101197256354702,0.9789623948096028,0.8883503523641217,0.7682902869319705,0.9767114299082482,0.9889371911044789,0.9723793341456677,0.8365986012427082,0.8857800614227663,0.8759584148925006,0.9097237800455181,0.9997209564337375,0.0,0.9826128759682026,0.9393833193986102,0.8454265422137006,0.9924692798286763,0.9150622782752488,0.9685720584883158,0.970406115255732,0.984855984457503,0.961796877630591,0.9655238335394815,0.9016941949411758,0.946414615099857,0.7894237105636814,0.8795130003231868,0.9493323450020721,0.7168488694238236,0.9202113367415483,0.7541188259133018,0.9243690032406975,0.959514499096697,0.8719273527097464,0.9899166836286023,0.9530443784226199,0.9957084094519244,0.9302803907736096,0.9516575198259054,0.931754190806466,0.98108470043889
9.csv,0.9517818163293934,0.8820619472148992,0.9924946795067872,0.9595582972169497,0.9984135652499532,0.9405642249750463,0.986480977120354,0.9633662152656631,1.0,0.9745664113719796,0.9342613663204362,0.8918388097204197,0.9791280976449693,0.9003223020022768,0.6211462984952405,0.9963763026577434,0.8140239154190374,0.9697136494352292,0.9808024889473137,0.7804419739975473,0.9430992971752825,0.8558067167869406,0.740144905947047,0.9409307936384824,0.952708678929797,0.9367573989391709,0.8059508281757887,0.8533305853306368,0.8438687428851146,0.8763971549200497,0.9630973943253829,0.0,0.9466160473929044,0.9782377225610079,0.8877229377261524,0.9561113738762826,0.9548076532230453,0.993642832333317,0.9918759640064266,0.9779554482027255,0.9998301872746032,0.9301530412663999,0.9419292933760153,0.9850114352889557,0.760504132287011,0.8472931103983622,0.9878222777015236,0.6905879822543599,0.8865005127212625,0.7264925991810147,0.8905058681608963,0.9976314209559864,0.8399853537669191,0.953652288937238,0.918130755821311,0.9592318419225416,0.8962006991954352,0.9167947031038329,0.8976205083551594,0.9451438547173711
10.csv,0.9281749953247234,0.8601843717594102,0.9678780669109817,0.9357585979808335,0.9736501479258916,0.9172356312548716,0.9883809484293593,0.9394720691320485,0.9751972347014151,1.0,0.9110891009242132,0.8697187410388807,0.9548430132420944,0.8779918192529533,0.6057401526375426,0.9787310543274625,0.7938338712976234,0.9456620693816915,0.9939185943928598,0.7610848548874382,0.919707826654289,0.8345803436498088,0.721787265558042,0.9175931080016462,0.9290788691685604,0.9135232250315709,0.7859610189424593,0.8321656271008221,0.8229384645127038,0.8546600819782093,0.9392099156957698,0.0,0.9231373517416688,0.996419747480363,0.9153104846485393,0.9323971678710999,0.9807313136916243,0.9689977423723395,0.9672746972664026,0.9536994487487248,0.9753628355516599,0.9070826736921012,0.9681723727816414,0.9898140415593292,0.7416415267852654,0.8262778982425414,0.9870729158107366,0.6734594906125579,0.8645128485674038,0.7084735737523262,0.8684188601160866,0.9775070664352762,0.8191513941831824,0.9299990750382681,0.8953585741717218,0.9354402396808055,0.8739724435931593,0.8940556592559151,0.8753570375594238,0.9217016735154505
