,1.csv,2.csv,3.csv,4.csv,5.csv,6.csv,7.csv,8.csv,9.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,30.csv,31.csv,249.csv,250.csv,251.csv,252.csv,253.csv,254.csv,255.csv,256.csv,257.csv,258.csv,259.csv,260.csv,261.csv,262.csv,263.csv,264.csv,265.csv,266.csv,267.csv,268.csv,269.csv,270.csv,271.csv,272.csv,273.csv,274.csv,275.csv,276.csv,277.csv,278.csv,279.csv,559.csv,560.csv,561.csv,562.csv,563.csv,564.csv,565.csv,566.csv,567.csv,568.csv,569.csv,570.csv,571.csv,572.csv,573.csv,574.csv,575.csv,576.csv,577.csv,578.csv,579.csv,580.csv,581.csv,582.csv,583.csv,584.csv,585.csv,586.csv,587.csv,588.csv,589.csv
1.csv,1.0,0.8383076369483455,0.5593553364773849,0.7200302704844979,0.4381475966557383,0.5956922786608847,0.388717319552612,0.5237568248240532,0.589886056754436,0.5346382557322413,0.5466140481314024,0.819100980934123,0.5590264542905742,0.46213746198547956,0.0,0.5182706086862956,0.349262614473279,0.5644244839955295,0.2210010757189943,0.7181945174156983,0.48113818940128494,0.5125308810423079,0.5563915179569172,0.5337655283134254,0.5109340625532084,0.5214504570588843,0.39712874091632444,0.5635661431654075,0.643400947842357,0.6806646419074162,0.39314115185999154,0.5507441020268912,0.6561729533008456,0.5745522673169678,0.5115962012921254,0.6573323724395815,0.5501828207058024,0.5246075094497358,0.4985191438297216,0.41410224324149136,0.5302922743420919,0.5926279702912176,0.4782559341788539,0.531627343951707,0.4273889410135583,0.29679482760528697,0.6679749417712444,0.3542592748228812,0.42775302017697026,0.4912627466258982,0.48747481947295623,0.7316885734198584,0.6794209097114343,0.7126842232131172,0.6262999013562163,0.5541815013999736,0.588913810275425,0.6083682183456098,0.2583894774186267,0.15265468321917863,0.6611991018753725,0.746221365587594,0.6546956176680514,0.5949164492390028,0.5741033733810303,0.4802768122938713,0.5353305615648911,0.5717345075855007,0.43665642841276275,0.46958236716247215,0.44946244493350207,0.6057079389231355,0.504964730532095,0.3916111173914242,0.4587729585885205,0.3654021207637711,0.43014127381400324,0.6347067444398129,0.5381141824624407,0.516964126078234,0.579871198628603,0.4001891307666958,0.5509259210273769,0.4261301715420692,0.4773387871688801,0.44889407508350754,0.4388889838463579,0.561296266401268,0.45660211030277753,0.5558818124870812,0.5426558792689298,0.4606965561719579,0.5129755807945173
2.csv,0.8302273508492725,1.0,0.5955613898406577,0.7975991749728448,0.40299099485308143,0.6317986014134394,0.38568735032982393,0.5020559994931801,0.6602447529397759,0.5322527276166555,0.6232166898303627,0.8359409387961609,0.5576833787200051,0.43557716637587074,0.057743060828624015,0.5691491352353142,0.3145819911091683,0.6170615594347744,0.19105721487872385,0.5837328018294752,0.5074295923472891,0.5102871081936959,0.5354804735168659,0.4593852815738355,0.4998163877792535,0.4680425593221075,0.3256692234175764,0.5366244304366872,0.5251840018565626,0.5719353471180944,0.31900729939329187,0.6016650665195673,0.6557641935618859,0.5830550909748707,0.5057966393164091,0.6200110956219402,0.536243645386619,0.5017493536084701,0.46265089422854533,0.4000184620122441,0.48356038766233644,0.6555593019911781,0.44909669285756426,0.5572009724756912,0.4020623049646799,0.27391590954467915,0.7036574115710765,0.33040807462886,0.3989567042308306,0.493663821355261,0.35802699415313555,0.7269359516939071,0.6727708251723754,0.6129702033383069,0.6754614749026062,0.5299505994417704,0.5237328642518717,0.5296862281890393,0.22820107202896978,0.0,0.5269651453310096,0.6155731219818418,0.737368762626371,0.5867326796350083,0.6013581574636241,0.47594337343559057,0.5230724611281852,0.5393490231264488,0.42407943961528716,0.46888521320346566,0.4344929127558239,0.6054139286899545,0.48553465069162627,0.3655374161614283,0.4533507026777748,0.3586595425899757,0.3970872715239848,0.648799088362366,0.5408041238193058,0.5106181342207051,0.5706973908128112,0.39710079447265345,0.5484286485714907,0.37974186480843874,0.5068333778479321,0.45726314900926934,0.4540478355462565,0.5544604019818186,0.4697376967491812,0.5499908437324661,0.5569169792178503,0.48702740967221414,0.4920536074095738
3.csv,0.6398050679377114,0.6851356617278963,1.0,0.6866809333483497,0.5701324866984425,0.8648650509179017,0.5331073793375645,0.7199942463789206,0.7968105150291231,0.665293271251163,0.6405847793783044,0.7655129548580821,0.6782958605856129,0.4861309552327804,0.14173414538538942,0.7854047371300623,0.6141476370191987,0.8172509308763984,0.533496536048458,0.5416199330586415,0.6962770421810343,0.6775242065034215,0.5891592660037418,0.5415789428247405,0.8130748442849722,0.6408424736312404,0.4315946193453407,0.7287362644573587,0.47778599888440676,0.5242651095440999,0.43708254628782706,0.6965205992577819,0.624871844395724,0.6519647047315832,0.5742238523620952,0.5802667338704317,0.5928291993490804,0.5430068447526866,0.5529696948463514,0.5093498619150881,0.48292657911904746,0.7342087760060708,0.5719294716336032,0.6341609205163694,0.5417762607019981,0.4562980176154149,0.7513716420775398,0.47234502027526715,0.46469067795281493,0.6251038853338022,0.29972598452064514,0.6643754772694591,0.7077419684513933,0.5138979272865913,0.8201717279647249,0.42787352487641284,0.3942163910236709,0.4180819737065823,0.49595893895286924,0.0,0.49216423650313035,0.4733409011269578,0.6378228905094807,0.6902852572334555,0.6482573035061534,0.6176809730754071,0.634663552211175,0.6013240346072143,0.556030594217735,0.6380343316915106,0.6526609240163501,0.7731385728654974,0.6585472394894745,0.5093543110432213,0.5891272186935227,0.508671287497126,0.5079308162997905,0.6276491172393368,0.6944375088454082,0.5898702300207632,0.5573631274677368,0.6858066706886308,0.6980657566834738,0.5742206223252351,0.6128681312458504,0.6341844277629307,0.6429949895007305,0.6235318084008414,0.6222597838008049,0.5808522827797813,0.65426742587671,0.6173980458804742,0.636538565217183
4.csv,0.7408262546340649,0.8215510535911617,0.6451721757836131,1.0,0.4258394829896551,0.6972344410959378,0.38271378621068974,0.5601066910397636,0.6792969825899685,0.5772686440104644,0.802502800215231,0.7834019616413647,0.618237538114462,0.5685055850771012,0.14943073711241484,0.5823452620698673,0.40625358128481537,0.6632000837086551,0.2670124131809034,0.6201897497775877,0.5790150020674965,0.5872234408190702,0.6461152969233088,0.5806230592859829,0.5282324152440345,0.587376331839359,0.4884543705223503,0.65790890064175,0.5684433187367284,0.6328991727606884,0.4945340471108495,0.6536299580687543,0.7023886677979365,0.7405227316486875,0.5781869692837773,0.6415721444719658,0.631211637018716,0.631542781284277,0.5325014200852656,0.4071859631711956,0.5170919045612028,0.7344493441901817,0.5333403384321442,0.6540277316373908,0.48502841208518666,0.406333316508976,0.7475259155322136,0.45675232846916125,0.4706855994652609,0.5617019766322613,0.3212205097283749,0.6671809520908667,0.6979292877304129,0.5789531620962272,0.7409883144350307,0.5251511825941653,0.45782220828403375,0.48111571879094517,0.28594436176267435,0.0,0.4862614737932024,0.5968897149250232,0.7878050768588511,0.6785097286747599,0.6212586182890973,0.535607804386318,0.5515438127686841,0.557316059264868,0.4581878886111239,0.5089386618370749,0.44935929347715764,0.6764818852878844,0.5124520446430711,0.4585962564132494,0.493909310566083,0.4191864287538165,0.4883979886538641,0.6564679301878642,0.5933996232024146,0.5908677475091662,0.5626540402188572,0.47701818977567667,0.5590612066976498,0.453497949288695,0.549940194790293,0.5154917630988729,0.5009951124731054,0.553807059004455,0.5088717133726566,0.5466005461238868,0.6138083882705048,0.5649029214571275,0.526464863912562
5.csv,0.549862978483716,0.5444614295197225,0.5786839226528876,0.5030921161805899,1.0,0.48561832364012913,0.8307193413880322,0.5962033629065342,0.6379283071968428,0.796961366064612,0.4655494440384027,0.5506776674969325,0.7936751515186538,0.47785682256229245,0.093432421335784,0.6289271541288057,0.38754411043263237,0.6432465029945449,0.320444290641388,0.4897892179749115,0.4811505060736003,0.5187688194606828,0.5855786581719453,0.5638175422606356,0.6021787074283974,0.5067675838514214,0.4526638889687554,0.522473532176279,0.45644234477227064,0.49322476335926746,0.43789770759851787,0.6717615325008668,0.46543517327275175,0.5615409386117343,0.5169682286135542,0.5047682743091875,0.4471876530105988,0.46693441403105673,0.4261409833333789,0.765649808312502,0.46860537355918364,0.5529521578808099,0.4334246153575737,0.6071900488560942,0.52377308513031,0.3382155378253715,0.47296935865390544,0.3798955547141386,0.3871392883918585,0.4322911126985076,0.23489482937185036,0.567241668352923,0.5067999585390006,0.41891219838458327,0.5101141039141013,0.3783371231388084,0.3349441632982796,0.36590257064934795,0.2730073407989042,0.0,0.4664783341314278,0.4130618590283719,0.4690703388849776,0.6131941434981496,0.7138743005455035,0.5483735251747506,0.7175814798072153,0.5596584359726956,0.687713787284219,0.5699378240231068,0.7714573917869325,0.67344083645451,0.609578245102947,0.4144865894379339,0.5914731214064355,0.42943267258566087,0.5064614806906504,0.5727581180861089,0.5629989860403559,0.6061128615966133,0.5153198279733224,0.4056637959137841,0.6066071486917316,0.42935727064497076,0.42183410555687473,0.4672618809571104,0.47788102412421374,0.4938071462227588,0.41193573261395133,0.4352481401504512,0.44801852733928293,0.42938669113687433,0.4614657933033426
6.csv,0.6519837211775945,0.6981475258198111,0.8576995993636394,0.7184768800237076,0.44734955634872986,1.0,0.40943148793042006,0.6466694638765496,0.7146519676579528,0.5834016050571607,0.6602244655615257,0.7934522199234619,0.5902322837574913,0.4718080058828321,0.10145574085139686,0.6681095391676646,0.5543889419122223,0.7547457069676706,0.4503330207345809,0.5517568085943549,0.7240401785547299,0.6239616966562718,0.5614713369402609,0.5134899476908035,0.7133829567690753,0.6191933159863803,0.41241676384618087,0.7205476625674733,0.49438503260686195,0.5411692592002539,0.41863835914004177,0.6361427917070346,0.669998433819174,0.6373756122306299,0.5546367724597512,0.5791176350965002,0.5994114402663469,0.541902663774158,0.5547385486550105,0.4038798892112899,0.46467638201074923,0.7188038830351208,0.5619402230092951,0.5900362933115477,0.49084492352933506,0.4408731336662035,0.7804939227387868,0.46450019819821264,0.4660632980798842,0.6228905872272439,0.3268115322425843,0.6772266013862077,0.7222511642663241,0.5362356932750043,0.8152818111121398,0.43035743073458343,0.41248028671530135,0.43341179186473067,0.4392720585665114,0.0,0.5047557265673663,0.5040150218477766,0.6740101875943583,0.6535152366607248,0.5835059425863729,0.5757572282854704,0.5696885969533276,0.5775061023107737,0.4777108353600923,0.5808022923411431,0.5362515428393123,0.7132178499814888,0.6028809326289759,0.5138863009024853,0.5371579212592617,0.482441451552418,0.483140471732613,0.6121141430481737,0.6665524965376028,0.547495017467833,0.5450945782739016,0.7199482507819256,0.6752163604374641,0.5973011313154706,0.645088181237913,0.6490889349024747,0.6435748859550545,0.6396679970947796,0.6483123962636885,0.6117843610297129,0.7068076358547564,0.6472058739563835,0.6727311039336261
7.csv,0.5142540591979112,0.5350798922091912,0.5461263023177216,0.470124621728492,0.8320995194979236,0.45480752486703047,1.0,0.5524300390178531,0.6368116521506598,0.7349385401510167,0.42693718287782845,0.523620525644727,0.7064874770004839,0.4332195427605726,0.17546966872029435,0.6321941231335608,0.3354215664933512,0.617553562055704,0.29522300763512843,0.4180156850305067,0.4621902592913012,0.47525288546253674,0.5272189871846731,0.4604054357062688,0.5709426890222735,0.4235917240731796,0.35319869136508586,0.44607370591935913,0.4035174786123843,0.42879209044141264,0.3405169490631571,0.669548282040199,0.4578168044101042,0.5096881614173945,0.5256274342685827,0.49117233277896644,0.42999487353793653,0.4318745031877166,0.42721044606323166,0.8309579458227023,0.47457389310287956,0.5534946037400348,0.42845219884015784,0.5900004331943193,0.5180709851850562,0.33444462296319877,0.4486991521642405,0.3783407601231109,0.40752574576128875,0.4344406610254984,0.2233991761488694,0.567621208869315,0.48286993918114396,0.4091205770484,0.4791096305939714,0.40643019184336904,0.3562801190892103,0.3804538228006419,0.2612350567622188,0.0,0.4332421720255317,0.3803280449900638,0.4799976826615169,0.5708738777846768,0.7266624969718252,0.5523592052177382,0.7058106788238752,0.5675058810601883,0.7190810732955191,0.5808824375160621,0.7879268067031149,0.6249929945959027,0.6180046458172939,0.40947698429629653,0.6100073365642298,0.4586934912079026,0.4862905421178514,0.5824795524428097,0.5617303858171945,0.6000141682887131,0.5496886751238769,0.3834717078687204,0.5914251541959454,0.3954146538235177,0.4355688333769877,0.4785789102242063,0.49069136807518554,0.5056049574910679,0.421267240351646,0.45237092770351695,0.4338606785113247,0.43624407328938386,0.4559429769066988
8.csv,0.6075417822404208,0.6091888471753601,0.7177184232891036,0.6084095504840388,0.5846589371457582,0.6617340287041908,0.5358498404862273,1.0,0.726800244734873,0.6248393321059525,0.5311624080785522,0.6733557029296017,0.6751223218624036,0.6034835604993087,0.1241079825664958,0.731009023439123,0.6919036494708654,0.6240943341904694,0.5910062506929247,0.6194114029320504,0.49122689798852204,0.7702879264782624,0.6493211253535326,0.6262480451072562,0.7922457207700268,0.7607177609168223,0.5134166715713007,0.7656647132265895,0.5679410265960643,0.5798506764729974,0.5355206137090646,0.5863257346808952,0.5867915945463891,0.6496725636030527,0.571987845302579,0.5264264953868709,0.5588444815012914,0.5122154716476539,0.5999819165300916,0.4985837878166781,0.4685463225939833,0.6974538415923208,0.6426613461941317,0.5701700481437766,0.533870132959751,0.4233285307329966,0.6744070177197861,0.4756060147364324,0.548100355679186,0.7168143158542543,0.24352645647517324,0.5779617868149147,0.7616616188902432,0.5055795190986752,0.7006417775903009,0.4120596342045896,0.3571610938330325,0.3823949643041499,0.5671284623529597,0.0,0.45038699124606874,0.45175656658340135,0.577350246732358,0.7952053954338067,0.669160866579217,0.770011967550609,0.6824026395739664,0.7044506758915026,0.6403178233546287,0.7722384817228587,0.7014488296792367,0.7429201763693883,0.7528045257616496,0.6064426960880878,0.6856224732123744,0.6404671439141367,0.6537637859664422,0.7010694673934568,0.7824395887193707,0.6377841945631213,0.6392070784562426,0.5113760995589856,0.5386119489110108,0.4702662575274399,0.48046396805048086,0.5660000204560458,0.5395167558470653,0.5302692511158992,0.5056676715873476,0.4971943039122687,0.5126838874863793,0.514489203375019,0.5455555202032885
9.csv,0.6620661260755278,0.733366233778566,0.7951767096834481,0.7145366809283595,0.6276089158642277,0.7268416060403743,0.6233898594040577,0.7268238149465726,1.0,0.6985208297073049,0.6394433212217387,0.7614922256777511,0.7205130386325551,0.5725721342369243,0.3058031597052825,0.8766921176098881,0.5772959556618307,0.7524513551297142,0.4927737827549117,0.5659519438471646,0.6086530761626309,0.7536871447019362,0.6820135239545253,0.5858231743724966,0.7677241834889599,0.6474329155748285,0.4771278626987091,0.7044281505268115,0.5042914802357694,0.5597522812391845,0.47505122191912275,0.7143970019455412,0.5997881873134854,0.6690791859387578,0.6020092438539921,0.581959840000891,0.5840647299994917,0.551065202454537,0.5494182347008987,0.5986647445692752,0.5235664697797053,0.7418144144749061,0.5701825877535323,0.664347223290862,0.5634934365616818,0.4532604445920102,0.684845992673732,0.4758399360962505,0.4812471935149255,0.5990136940767496,0.2813926190981303,0.6575166490138826,0.6827337551648838,0.5102994005192432,0.7492362844801705,0.5110904303222349,0.45186030303230906,0.4623772989579247,0.47764863751488074,0.0,0.48711154739550866,0.4891017316984819,0.6636749439050322,0.7379679310488874,0.7263692372251711,0.6477029603870372,0.6709521650645194,0.6266626268587291,0.6162277341711834,0.6478918278624148,0.6856989713553341,0.7772596360164293,0.6639476191461507,0.5088612422801384,0.6110229450615576,0.5269184821459947,0.5438354713348681,0.6902465064275267,0.722322279389187,0.6638815927536299,0.6164118571327597,0.5797882304019579,0.6517906305873528,0.5244647081010423,0.6262275882127766,0.6187112574505391,0.6477122560468204,0.6397520195682048,0.626859315973667,0.6062073929777778,0.6304675303430842,0.6310269883521658,0.5831390695456082
10.csv,0.6195129929191691,0.6357645613482287,0.6652161398768699,0.626634927681513,0.7927925600031358,0.6042879993346221,0.7272726774205167,0.6277782123813561,0.7008567058663402,1.0,0.6146503219314334,0.6436902941440125,0.8898283218770833,0.5779870361651992,0.13422710672450955,0.6376739027717783,0.38641165046970827,0.778277331986797,0.2885289025696479,0.548357897147973,0.6417071916535684,0.546393170772363,0.6816820757007624,0.6339850132930833,0.6247694693778122,0.5690050609722399,0.5337118183689826,0.6108567473968655,0.5401292978174155,0.5842602602790494,0.5141704289464009,0.8031488287699436,0.6030414329801823,0.6878685623936602,0.6086265097772603,0.5762447530153636,0.5332133911875574,0.5645465569562376,0.5039681427731431,0.7049778232363291,0.5151014721567069,0.6739200892934036,0.5006716227910661,0.711629219040827,0.5634689534971302,0.4085660693979899,0.5632916155053427,0.4703241791159871,0.4796477617295716,0.518899201990756,0.27755267453065247,0.6871533882128771,0.597669769318129,0.4765157218142816,0.5928943703272127,0.4286839547780903,0.3825354162386545,0.41326308254424704,0.2527426859171855,0.0,0.5236811270473203,0.4821555953125497,0.6071604114242465,0.7089962051263019,0.8238604741274244,0.6279029615383691,0.8260090737076714,0.6403696794436341,0.7402036202728599,0.6347902675966195,0.7470814970565096,0.7763754779328507,0.6779233210532432,0.5395011076274592,0.6783100256143806,0.5131333844080801,0.6096281698850159,0.6783692770928555,0.6622909319788695,0.6979359659018918,0.599370098389786,0.531762368936197,0.7377003514169829,0.5541017841342625,0.5540198021145886,0.6103820763949945,0.602186085114585,0.6077781903568589,0.524953182686243,0.5460064922820574,0.5972252935903428,0.5716049779385808,0.6014824881534364
