,1.csv,2.csv,3.csv,4.csv,5.csv,6.csv,7.csv,8.csv,9.csv,10.csv,11.csv,12.csv,13.csv,14.csv,15.csv,16.csv,17.csv,18.csv,19.csv,20.csv,21.csv,22.csv,23.csv,24.csv,25.csv,26.csv,27.csv,28.csv,29.csv,30.csv,31.csv,32.csv,33.csv,34.csv,35.csv,36.csv,37.csv,38.csv,39.csv,40.csv,41.csv,42.csv,43.csv,44.csv,45.csv,46.csv,47.csv,48.csv,49.csv,50.csv,51.csv,52.csv,53.csv,54.csv,55.csv,56.csv,57.csv,58.csv,59.csv,60.csv
1.csv,1.0,0.9319693356927493,0.8663326756066573,0.9083717457109408,0.8721781206590247,0.912190195504762,0.8829890436550145,0.8907066744369956,0.8981069010946761,0.9216826388491007,0.9252556564987111,0.931044116441162,0.8929672005313216,0.8696110382395364,0.7533845442120379,0.9162778836724365,0.9619808823059102,0.8133655579016426,0.9217398089086333,0.9228901525142268,0.8410318226124744,0.8528525211993768,0.8767508344299498,0.8433266115194535,0.9186716219667302,0.9376362501273081,0.7841433496089487,0.8631470045043746,0.8711027881746916,0.8127150065125691,0.8436635945850156,0.0,0.9085309316939496,0.9618914832365981,0.9214362235370689,0.9600533259225733,0.9368912655887923,0.9744124483121578,0.9392344066758191,0.9746481129680213,0.836877331645712,0.8506773322066429,0.9256868906964261,0.9232443044820409,0.729433424639889,0.8410904585238086,0.9405293848359678,0.8461189909523816,0.9282644857277222,0.8548032884646662,0.9084226294839529,0.981177778410955,0.7935812507629393,0.8906666722742014,0.848203825191193,0.8147300590539783,0.895349034036852,0.8109006564640863,0.8880532492255728,0.8728556213633144
2.csv,0.9332698266313881,1.0,0.852192423272138,0.9636564885236514,0.8675411146638551,0.9784394585855122,0.8646944762935133,0.9107487961004852,0.8829317027517871,0.9157659177007227,0.9862240084158467,0.92085042025929,0.910216146433226,0.9253725448869259,0.7800035578256009,0.8876894549312031,0.9012378012638312,0.7996345372143059,0.8874062862306907,0.9615453895378135,0.8765891351247547,0.804143728271655,0.8401804826365822,0.8194907916132853,0.8893715404428134,0.8819765699538453,0.7521765198506666,0.8561650206161618,0.8677936133932218,0.8190353349619783,0.8358212356864716,0.0,0.8485834600065355,0.9278467001340559,0.8896695537440145,0.9179997190211658,0.8820039494952414,0.956218777180928,0.8913210178856835,0.9122331468960491,0.8682141536096215,0.790263961559673,0.9724492475541361,0.8769525163613909,0.6750564317661871,0.7986548975993062,0.9335163568753934,0.8145978151008733,0.9135357283034052,0.8122228735483823,0.8519552097665263,0.9406819861999872,0.735407697972462,0.8367646517095638,0.7894711014156979,0.7593792392268339,0.8361376586153467,0.7583428890625055,0.8369895496185575,0.8176435177227943
3.csv,0.869538563876095,0.8529259487378167,1.0,0.830989183160408,0.9734353691238298,0.8455749668367514,0.9832553827417098,0.9223940293319447,0.9657140028722762,0.9341528633674995,0.8578861667966723,0.9280440746317747,0.9293228088625026,0.8135153448273115,0.6379605491243452,0.9495235961476669,0.868651128163314,0.9363403640735322,0.9131279072155634,0.819122822499335,0.7771992640140502,0.7460773882283449,0.757310424040526,0.7207299447256422,0.7928796754534294,0.830563058977102,0.6678600905160259,0.7381240015524813,0.7448127941633416,0.6888757705965478,0.7209733272839385,0.0,0.8411231253505844,0.9021559349714457,0.9328101868576033,0.8587652366852994,0.8998054360136344,0.8595560197130488,0.8895915203983391,0.8618087218007249,0.8965628380561188,0.8193352239209674,0.8758900231933467,0.9100107558263171,0.6662253926630236,0.7354738036303545,0.9164817651419848,0.7290865143673407,0.9111571828590048,0.751487391097724,0.8775054155901811,0.8845589205015235,0.7726725340082125,0.868748074746493,0.824187911407612,0.8319272913897356,0.8661875120047476,0.8313134190266451,0.9058520600124579,0.8531888700989145
4.csv,0.912887489566375,0.9647742326975729,0.8353700986995707,1.0,0.8536919374423997,0.9586998515182179,0.8467088773450134,0.8901001466077263,0.8663497604376011,0.8986872107158074,0.9687759817827922,0.9026447584180302,0.8927194816002473,0.9106278619698032,0.7966658249739593,0.8683686919724827,0.8888099142001978,0.7805333666734521,0.8786191519277169,0.9622474169068854,0.8587173260622349,0.8021452459749903,0.8428268848114547,0.8279762853604279,0.8897227582201629,0.8756289219818373,0.7589398550705706,0.8674843278798057,0.8707274412311146,0.8339735250122199,0.8508506668041185,0.0,0.8418875607981159,0.901222318415555,0.8757819630439083,0.9125247482609142,0.866662213675859,0.9336598028771613,0.8821352316378337,0.8981611570168726,0.8528797428968904,0.7838000703584699,0.9513153445284521,0.8647698337979222,0.6793679595211102,0.8044312803570477,0.9127335451961243,0.8228023229003322,0.8834036295669292,0.8184712277623084,0.8421722437838135,0.9184513814932058,0.7333121513492451,0.8300962293364673,0.7839250059521191,0.7517383202348794,0.8258478789889352,0.7532183181477176,0.8228482760000657,0.8120456377509732
5.csv,0.8772717458084085,0.8703409269351996,0.9738671820268853,0.8522401301069079,1.0,0.863924408575087,0.9709612986920216,0.9379460969485363,0.9726918286576514,0.9494909033979142,0.8770963337022197,0.941493225995529,0.9485382821161606,0.8294812161722984,0.6561611012864927,0.9485742550921603,0.8737875108670158,0.9160878349769012,0.920815526837526,0.8361556779866104,0.787659977949398,0.7492550314606256,0.765333726683149,0.7313207155796331,0.8031714782397318,0.8362302410022675,0.6753209690217418,0.7519083605296177,0.7569705471333965,0.7044606506902025,0.7353744939890217,0.0,0.8419584983770656,0.9073705372703396,0.9379457795900709,0.8696161022240542,0.8992824233495046,0.8708960470163029,0.8954980442069261,0.8680662904174593,0.9105630236253344,0.8139888185715076,0.8947659819751437,0.9111387716539208,0.6655789777765617,0.7421523955236068,0.929781250127765,0.7385745709693232,0.9126773707095794,0.7587551451673185,0.8756995573367166,0.8937867450561287,0.7671912136852213,0.8672497482454357,0.8191356652495785,0.8213661775738539,0.8618271659426817,0.8228640192352812,0.8960479021383824,0.8503266499666124
6.csv,0.9136007698834929,0.978372367400112,0.8443218487086063,0.9572567679664644,0.8605534624809563,1.0,0.8553984176586799,0.9115323154372972,0.8727436719847662,0.904914504407538,0.9759713691695857,0.9085200596314719,0.9084263834530824,0.9440759610137205,0.7799150440612674,0.8748367497502778,0.8802204194049662,0.7948789464027759,0.8696260239978688,0.9512626181431632,0.8889818442141917,0.7848876203658087,0.8216621763399241,0.8033026857076034,0.8710179337406043,0.8605959366489193,0.735641707716163,0.842728944921249,0.8576186328487968,0.8106455324946433,0.8218626339524524,0.0,0.8270276858548342,0.9131969829155346,0.8739791171945855,0.8961627412838093,0.8631285077573436,0.9366808824335077,0.8711253490299129,0.8913635910633488,0.8760655866932554,0.7691215002815521,0.9665819620573015,0.8585531389673282,0.6531079556676572,0.7784912141645284,0.9207709603545592,0.7963684957397699,0.9064011584474609,0.7915465881692884,0.8317362556847356,0.9217927984054892,0.7137642542996562,0.8162930669777883,0.7683510025899161,0.7398714349850968,0.8158839217832561,0.7386506236545044,0.8195196442755892,0.7968903714313409
7.csv,0.8852478281920001,0.8647203814306984,0.9831750915446182,0.8418750968157203,0.9703399269273046,0.8558745859855827,1.0,0.9268436505495559,0.9783253407182305,0.946241270986764,0.8688904272521188,0.9413554014472306,0.9340343214545366,0.8217674180434016,0.6506614568353039,0.9660285465547905,0.8845731549747555,0.9238277501825317,0.9264916658142931,0.8319663658189065,0.7859889994636801,0.7613744127064324,0.7728263438500482,0.7359815329130561,0.808342130562998,0.8462801419763868,0.6830156204607056,0.7529185352467241,0.7595568728080658,0.7031035814241051,0.7356452945253256,0.0,0.8556338610880158,0.9174992969967414,0.9474118347916592,0.8739128166929344,0.915366663080529,0.8742455271274345,0.9044622693371928,0.8778176271587922,0.8926752089379483,0.8308244483658631,0.8863566271399488,0.9244220064150394,0.6781426834381806,0.7504070772229279,0.929869103466765,0.7442834695493487,0.9235493533454822,0.7663125283713129,0.8910806414482397,0.8998942860029336,0.7820310889236448,0.8809191410860706,0.8350663655904158,0.8385653182829557,0.8791876345870815,0.8373241606237891,0.9168977484861982,0.8644889857099096
8.csv,0.8921637267356252,0.910222445477347,0.9215470163329273,0.8859442392203791,0.9362322674282031,0.9112866400461387,0.9263981262590225,1.0,0.93635739460035,0.9494532438821344,0.9159291454749932,0.9445156951692231,0.9838473394069704,0.8861715958457694,0.6924092048371314,0.9252828675723203,0.8705883546896513,0.8788209243070448,0.8943283232735609,0.8717656173187904,0.8415412198903851,0.7477590916564036,0.7715827795781565,0.7419395811019921,0.8168480708279864,0.8348146955976703,0.6801457843575451,0.7713320869378081,0.7842742752136673,0.7300366571173059,0.7512307659438123,0.0,0.8231747418108584,0.9231813996608014,0.9111039217357795,0.8723116840361149,0.8810551432459848,0.8967938999443066,0.8787921532967918,0.8726628690545899,0.9458921654180129,0.7804223993754223,0.9352737588972027,0.8839195247281603,0.637556971963397,0.7371871220726556,0.9446628518132023,0.7426728270048122,0.9390896341241409,0.7524858277721045,0.8474367813296609,0.9096972384854506,0.7262975946255844,0.8333157620177417,0.7825497613467718,0.7731090073755594,0.8320954800346044,0.7718528889440626,0.8572457779110243,0.8137501244783087
9.csv,0.9010020120585364,0.8840412947778987,0.9658695918689231,0.8634158759883965,0.9723665659628743,0.8743408486531048,0.9785266653901122,0.9373301986718184,1.0,0.9668452790142315,0.8889526354726021,0.9613933912341743,0.9473549113420102,0.8364347430248559,0.6709169759560782,0.9751490175643736,0.898984946720649,0.9041727020155723,0.9421754378707553,0.8518642821312201,0.7970700815302278,0.773598371732713,0.7886998988243458,0.7534308889382021,0.8257524054964471,0.8608200491914926,0.698184731078813,0.7721783815090324,0.7772693963861278,0.7229880834920406,0.7553699084603727,0.0,0.8659659548129568,0.9307115848943759,0.9622661769077263,0.8922462943973442,0.9249966086134149,0.8917151670970466,0.9193127073827884,0.8929288544611532,0.8963881218798146,0.8347790794167419,0.9057046742153396,0.9350001395455778,0.6861770569209439,0.7652042027675162,0.948907880899401,0.7610943384443192,0.9302789860761864,0.7815414121462553,0.8987197417079547,0.9166957395221084,0.7849837385523479,0.8881113313963052,0.8389387292810186,0.8359163953761097,0.8844386888187209,0.8360020864862014,0.9159461351249742,0.8701879380246819
10.csv,0.9240139039369926,0.9166805501072814,0.9345430024289718,0.8966074511669253,0.9489605095958109,0.9062387262596182,0.9468148125711797,0.9502952210884444,0.9668914724369599,1.0,0.9220188547845415,0.9908717800278349,0.960968875279848,0.8641765399469479,0.7025715711054592,0.9628949390368683,0.9140783302203469,0.8754692341520112,0.9456672749178379,0.8842170923586118,0.820865502725809,0.7877954924359096,0.8090458818913059,0.7766280435728021,0.8499928623403644,0.8771441576239445,0.7173688612436346,0.7996552880738835,0.8050425779235579,0.7523460535977128,0.7823051185985311,0.0,0.8714872966845918,0.9499224090380536,0.9599367022367753,0.9144162301151889,0.9271853252270206,0.919932912131209,0.9286828242819631,0.9117593637739958,0.9000762528698618,0.8294286967847154,0.9381451434630024,0.9332669461769643,0.6884285648699666,0.7810839239637614,0.9793549282520538,0.7817863421825937,0.9415570263824171,0.7974080914914128,0.8966018040113324,0.9416825409567172,0.7771154789746906,0.8839227138193437,0.8323551063685349,0.8193539112855959,0.8801095453497985,0.8196621555652144,0.9006943744267834,0.8643569826601953
